k,x^k_1,x^k_2,d^k_1,d^k_2,||d^k||_2,alpha^k,f(x^k)
0,40.0,-100.0,-286.0,6.0,286.0629301395062,0.08589934592000005,6050.0
1,15.432787066879985,-99.48460392448,202.76727828480028,127.80527251456007,239.68470294440277,0.08589934592000005,4993.120645140839
2,32.85036364552296,-88.50621461035193,-200.4761998586996,18.760610993089045,201.35209766630015,0.08589934592000005,4168.639463515639
3,15.62958920513346,-86.89469039698602,135.88166788226093,101.64143476830475,169.69033245363335,0.10737418240000006,3515.440124849612
4,30.219772197139577,-75.98102444077637,-210.4903217389097,6.86318789585485,210.60218159801556,0.08589934592000005,3467.6254778968796
5,12.138791237276866,-75.39148108959637,148.18158070244453,96.08900599280841,176.60939366908278,0.08589934592000005,2873.9765070419803
6,24.86749209700855,-67.13749832471116,-147.66235031661523,15.937536164379566,148.51994734720893,0.08589934592000005,2408.3393688251704
7,12.18339278780139,-65.7684743926146,99.17451620704524,76.61998484622227,125.32440601389982,0.10737418240000006,2037.4703865785748
8,22.832175380448426,-57.5414661642511,-154.93617678771307,6.922055426260059,155.09072741114375,0.08589934592000005,1990.716760474835
9,9.52325913503838,-56.946866130713374,108.26914795279927,72.27743658623484,130.17771021915516,0.08589934592000005,1656.626961078433
244,-0.13333032351540502,3.3333246312517897,-1.6685950846806463e-05,2.3550734455923816e-06,1.6851330113560048e-05,0.10737418240000006,0.933333333368692
245,-0.13333211515573476,3.3333248841258754,1.788248531831016e-05,1.0807526923173327e-05,2.0894638531324126e-05,0.08589934592000005,0.9333333333680986
246,-0.13333057906194248,3.333325812485369,-1.7481187995826986e-05,1.2703389744572746e-06,1.752728429778757e-05,0.08589934592000005,0.9333333333621834
247,-0.13333208068455724,3.333325921606656,1.2005657863412011e-05,8.560209473706948e-06,1.4744931568747575e-05,0.08589934592000005,0.9333333333575382
248,-0.13333104940639942,3.333326656923051,-1.2296487266638678e-05,1.9331858949200864e-06,1.244752211498036e-05,0.10737418240000006,0.933333333353831
249,-0.13333236973166607,3.3333268644973058,1.3072146792580952e-05,8.119663719163839e-06,1.5388630890338817e-05,0.08589934592000005,0.9333333333532963
250,-0.1333312468428068,3.3333275619711085,-1.2872999405999508e-05,1.1102718175948212e-06,1.2920790115771133e-05,0.08589934592000005,0.9333333333499674
251,-0.13333235262503582,3.3333276573427315,8.765787057996022e-06,6.448439716422172e-06,1.0882159598281097e-05,0.10737418240000006,0.9333333333473366
252,-0.13333141140581736,3.333328349738674,-1.3520577022418934e-05,3.5755173932727757e-07,1.352530392506796e-05,0.08589934592000005,0.9333333333472176
253,-0.13333257281454006,3.3333283804521345,9.554030128811064e-06,6.10316843108194e-06,1.1337025915132448e-05,0.08589934592000005,0.9333333333448159
